# Each line contains : 
#   * Generation
#   * Genome size
#   * Terminator number
#
829 19269 1128
830 19269 1128
831 19269 1129
832 19269 1129
833 19269 1128
834 19269 1127
835 19269 1127
836 19269 1127
837 19269 1125
838 19414 1133
839 19414 1133
840 19414 1133
841 19414 1133
842 19414 1133
843 19414 1133
844 19414 1133
845 19414 1133
846 19414 1133
847 19414 1133
848 19414 1137
849 19414 1137
850 19414 1137
851 19414 1137
852 19116 1116
853 19116 1116
854 19116 1116
855 19116 1116
856 19116 1116
857 19116 1116
858 19116 1116
859 19116 1116
860 19116 1116
861 19116 1116
862 19116 1116
863 20092 1180
864 20092 1180
865 20097 1179
866 20097 1179
867 20097 1179
868 20097 1179
869 20097 1179
870 20097 1179
871 20097 1179
872 20097 1179
873 20097 1176
874 20097 1176
875 20097 1176
876 20097 1176
877 20097 1176
878 20097 1176
879 20097 1176
880 20097 1174
881 20097 1179
882 20097 1179
883 20097 1179
884 20097 1179
885 20097 1180
886 20097 1180
887 20097 1180
888 20097 1180
889 20097 1182
890 20097 1182
891 19708 1162
892 19708 1162
893 19708 1162
894 19708 1162
895 19708 1163
896 19708 1163
897 19708 1163
898 19708 1164
899 19708 1164
900 19708 1158
901 19708 1158
902 19708 1158
903 19708 1158
904 19708 1158
905 19708 1158
906 19708 1155
907 19708 1155
908 19708 1155
909 19708 1155
910 19708 1155
911 19708 1159
912 19708 1159
913 19708 1159
914 19708 1159
915 19708 1159
916 19710 1159
917 19710 1158
918 19710 1158
919 19710 1158
920 19710 1162
921 19710 1162
922 19710 1162
923 19710 1162
924 19710 1162
925 19710 1162
926 19710 1162
927 19710 1162
928 19710 1162
929 19710 1162
930 19710 1162
931 19710 1162
932 19710 1162
933 19710 1162
934 19710 1162
935 19710 1162
936 19710 1162
937 19710 1158
938 19710 1158
939 19710 1158
940 19710 1158
941 19710 1158
942 19710 1158
943 19710 1158
944 19710 1158
945 19710 1158
946 19710 1158
947 19710 1158
948 19710 1158
949 19710 1158
950 19711 1160
951 19711 1160
952 19711 1160
953 19711 1160
954 19711 1160
955 19711 1162
956 19711 1162
957 19708 1162
958 19708 1162
959 19708 1162
960 19708 1162
961 19708 1162
962 19708 1162
963 19708 1162
964 19708 1162
965 19708 1161
966 19708 1165
967 19708 1165
968 19708 1165
969 19708 1165
970 19708 1165
971 19708 1164
972 19708 1164
973 19708 1164
974 19708 1164
975 19708 1166
976 19708 1166
977 19708 1166
978 19708 1166
979 19708 1166
980 19708 1166
981 20615 1232
982 20615 1232
983 20615 1230
984 20615 1230
985 20615 1229
986 20615 1229
987 20615 1229
988 20615 1229
989 20615 1229
990 20615 1232
991 20615 1233
992 20615 1234
993 20611 1234
994 20611 1234
995 20611 1234
996 20611 1234
997 20611 1233
998 20611 1233
999 20611 1233
1000 20611 1233
